data_index,message_index,message,time_ms
0,0,encoding,0.3418
0,1,network,9.8403
1,0,encoding,0.4758
1,1,network,11.7876
2,0,encoding,0.4746
2,1,network,11.2941
3,0,encoding,0.6689
3,1,network,10.9388
4,0,encoding,0.9744
4,1,network,11.7829
5,0,encoding,0.9735
5,1,network,11.6872
6,0,encoding,2.5573
6,1,network,14.445
7,0,encoding,3.161
7,1,network,16.9775
8,0,encoding,3.1099
8,1,network,17.8236
9,0,encoding,3.117
9,1,network,14.811
10,0,encoding,3.1092
10,1,network,17.3355
11,0,encoding,3.1776
11,1,network,18.2527
12,0,encoding,3.18
12,1,network,16.4615
13,0,encoding,3.2437
13,1,network,15.1953
14,0,encoding,2.9924
14,1,network,16.6604
15,0,encoding,2.1231
15,1,network,17.6455
16,0,encoding,2.0598
16,1,network,19.0653
17,0,encoding,2.1117
17,1,network,17.5303
18,0,encoding,3.8105
18,1,network,16.4989
19,0,encoding,3.3657
19,1,network,17.5972
20,0,encoding,3.0275
20,1,network,17.7952
21,0,encoding,3.0616
21,1,network,16.6011
22,0,encoding,2.1437
22,1,network,17.7886
23,0,encoding,3.1082
23,1,network,17.1664
24,0,encoding,3.0833
24,1,network,17.8896
25,0,encoding,3.125
25,1,network,16.3266
26,0,encoding,3.194
26,1,network,17.4527
27,0,encoding,2.1484
27,1,network,15.4872
28,0,encoding,3.4469
28,1,network,16.4361
29,0,encoding,3.1093
29,1,network,16.1509
30,0,encoding,3.1142
30,1,network,17.1758
31,0,encoding,3.0991
31,1,network,16.6329
32,0,encoding,3.0468
32,1,network,15.6613
33,0,encoding,2.1299
33,1,network,13.717
34,0,encoding,2.5111
34,1,network,16.5064
35,0,encoding,4.0045
35,1,network,58.9034
36,0,encoding,4.1912
36,1,network,20.3115
37,0,encoding,3.8651
37,1,network,16.7016
38,0,encoding,3.085
38,1,network,18.3659
39,0,encoding,3.8973
39,1,network,22.3758
40,0,encoding,3.1839
40,1,network,17.2388
41,0,encoding,3.3397
41,1,network,16.4377
42,0,encoding,3.4747
42,1,network,19.0114
43,0,encoding,2.9691
43,1,network,17.8032
44,0,encoding,3.0817
44,1,network,17.0478
45,0,encoding,3.5688
45,1,network,17.4127
46,0,encoding,3.1325
46,1,network,18.7039
47,0,encoding,3.0952
47,1,network,18.2333
48,0,encoding,2.2443
48,1,network,17.0138
49,0,encoding,3.0964
49,1,network,15.9118
50,0,encoding,3.175
50,1,network,15.3496
51,0,encoding,3.0967
51,1,network,16.2413
52,0,encoding,3.1893
52,1,network,16.0384
53,0,encoding,2.9987
53,1,network,16.7414
54,0,encoding,3.0619
54,1,network,17.4121
55,0,encoding,3.0731
55,1,network,16.1532
56,0,encoding,3.1617
56,1,network,17.0152
57,0,encoding,3.1522
57,1,network,16.2106
58,0,encoding,3.1456
58,1,network,15.4982
59,0,encoding,3.6379
59,1,network,15.476
60,0,encoding,3.1112
60,1,network,13.8265
61,0,encoding,3.1717
61,1,network,16.9861
62,0,encoding,2.8709
62,1,network,16.0515
63,0,encoding,3.1571
63,1,network,17.0896
64,0,encoding,4.1205
64,1,network,15.8311
65,0,encoding,3.1304
65,1,network,17.8181
66,0,encoding,3.2845
66,1,network,14.9956
67,0,encoding,3.0705
67,1,network,18.3715
68,0,encoding,3.1378
68,1,network,16.0099
69,0,encoding,3.1174
69,1,network,21.3741
70,0,encoding,3.1397
70,1,network,16.7197
71,0,encoding,3.1254
71,1,network,15.8041
72,0,encoding,2.9678
72,1,network,15.4571
73,0,encoding,3.6085
73,1,network,23.4204
74,0,encoding,3.8365
74,1,network,16.5207
75,0,encoding,3.1103
75,1,network,15.27
76,0,encoding,3.101
76,1,network,16.4249
77,0,encoding,3.1197
77,1,network,15.8841
78,0,encoding,3.1024
78,1,network,16.4342
79,0,encoding,3.1478
79,1,network,17.2322
80,0,encoding,3.1378
80,1,network,14.9284
81,0,encoding,3.0798
81,1,network,15.9122
82,0,encoding,3.2364
82,1,network,16.756
83,0,encoding,3.1408
83,1,network,16.6999
84,0,encoding,3.6552
84,1,network,15.3147
85,0,encoding,3.1427
85,1,network,17.8214
86,0,encoding,3.038
86,1,network,58.9266
87,0,encoding,6.2213
87,1,network,20.5813
88,0,encoding,3.6224
88,1,network,16.9206
89,0,encoding,3.5986
89,1,network,15.9455
90,0,encoding,3.2145
90,1,network,15.4901
91,0,encoding,3.1419
91,1,network,19.3458
92,0,encoding,3.0692
92,1,network,14.494
93,0,encoding,3.1257
93,1,network,16.1895
94,0,encoding,3.0629
94,1,network,17.0701
95,0,encoding,3.249
95,1,network,18.5963
96,0,encoding,3.0929
96,1,network,16.8897
97,0,encoding,4.0489
97,1,network,17.1399
98,0,encoding,3.2371
98,1,network,17.8011
99,0,encoding,3.1315
99,1,network,59.574
100,0,encoding,3.5599
100,1,network,19.8284
101,0,encoding,4.9744
101,1,network,17.1244
102,0,encoding,3.0836
102,1,network,16.1416
103,0,encoding,3.8559
103,1,network,17.4034
104,0,encoding,3.1197
104,1,network,18.259
105,0,encoding,3.1438
105,1,network,15.632
106,0,encoding,3.1488
106,1,network,17.1462
107,0,encoding,3.128
107,1,network,21.6631
108,0,encoding,3.0758
108,1,network,17.012
109,0,encoding,3.11
109,1,network,14.8904
110,0,encoding,3.1739
110,1,network,20.052
111,0,encoding,3.1023
111,1,network,15.5948
112,0,encoding,3.0843
112,1,network,17.1501
113,0,encoding,3.0382
113,1,network,18.0684
114,0,encoding,3.0606
114,1,network,58.6459
115,0,encoding,2.0426
115,1,network,20.8558
116,0,encoding,5.7384
116,1,network,18.3029
117,0,encoding,3.57
