data_index,message_index,message,time_ms
0,0,encoding,0.0101
0,1,network,503.2154
1,0,encoding,0.025
1,1,network,366.6077
2,0,encoding,0.0204
2,1,network,399.9392
3,0,encoding,0.0268
3,1,network,400.266
4,0,encoding,0.0239
4,1,network,399.9835
5,0,encoding,0.0244
5,1,network,399.5535
6,0,encoding,0.0206
6,1,network,366.9352
7,0,encoding,0.0275
7,1,network,399.5784
8,0,encoding,0.0439
8,1,network,399.8663
9,0,encoding,0.0277
9,1,network,400.5139
10,0,encoding,0.0269
10,1,network,399.4334
11,0,encoding,0.024
11,1,network,399.678
12,0,encoding,0.0194
12,1,network,400.0055
13,0,encoding,0.0223
13,1,network,400.5259
14,0,encoding,0.0327
14,1,network,399.665
15,0,encoding,0.0389
15,1,network,399.6778
16,0,encoding,0.0234
16,1,network,399.7106
17,0,encoding,0.0171
17,1,network,366.6488
18,0,encoding,0.0204
18,1,network,399.8858
19,0,encoding,0.0203
19,1,network,399.9566
20,0,encoding,0.0224
20,1,network,366.3225
21,0,encoding,0.018
21,1,network,366.3113
22,0,encoding,0.011
22,1,network,366.6406
23,0,encoding,0.0113
23,1,network,367.4317
24,0,encoding,0.0162
24,1,network,365.8582
25,0,encoding,0.0111
25,1,network,367.4932
26,0,encoding,0.0274
26,1,network,366.5371
27,0,encoding,0.0206
27,1,network,366.6943
28,0,encoding,0.019
28,1,network,366.5832
29,0,encoding,0.0186
29,1,network,400.1347
30,0,encoding,0.0229
30,1,network,366.4529
31,0,encoding,0.0165
31,1,network,399.9578
32,0,encoding,0.0198
32,1,network,366.4567
33,0,encoding,0.0195
33,1,network,367.1187
34,0,encoding,0.0268
34,1,network,400.0623
35,0,encoding,0.0253
35,1,network,399.4101
36,0,encoding,0.0235
36,1,network,400.2659
37,0,encoding,0.0201
37,1,network,400.0313
38,0,encoding,0.0236
38,1,network,399.4474
39,0,encoding,0.0212
39,1,network,366.6904
40,0,encoding,0.0217
40,1,network,366.6698
41,0,encoding,0.0217
41,1,network,399.9321
42,0,encoding,0.0234
42,1,network,399.955
43,0,encoding,0.0191
43,1,network,366.9733
44,0,encoding,0.0261
44,1,network,399.5784
45,0,encoding,0.0214
45,1,network,399.9578
46,0,encoding,0.0239
46,1,network,366.1857
47,0,encoding,0.0167
47,1,network,366.4643
48,0,encoding,0.0197
48,1,network,567.9293
49,0,encoding,0.0178
49,1,network,365.6868
50,0,encoding,0.0102
50,1,network,366.64
51,0,encoding,0.0109
51,1,network,366.7823
52,0,encoding,0.0189
52,1,network,366.5674
53,0,encoding,0.0118
53,1,network,366.7695
54,0,encoding,0.01
54,1,network,366.6259
55,0,encoding,0.0192
55,1,network,366.988
