data_index,message_index,message,time_ms
0,0,encoding,0.0041
0,1,network,38.7098
1,0,encoding,0.0029
1,1,network,33.2919
2,0,encoding,0.0036
2,1,network,33.3938
3,0,encoding,0.0034
3,1,network,33.3399
4,0,encoding,0.0038
4,1,network,33.4049
5,0,encoding,0.0046
5,1,network,34.5056
6,0,encoding,0.0203
6,1,network,32.9485
7,0,encoding,0.0123
7,1,network,33.8473
8,0,encoding,0.019
8,1,network,33.038
9,0,encoding,0.0175
9,1,network,33.146
10,0,encoding,0.0211
10,1,network,32.9565
11,0,encoding,0.0189
11,1,network,33.0993
12,0,encoding,0.0168
12,1,network,33.1817
13,0,encoding,0.0173
13,1,network,33.2356
14,0,encoding,0.0125
14,1,network,32.9526
15,0,encoding,0.0187
15,1,network,32.908
16,0,encoding,0.0127
16,1,network,33.0507
17,0,encoding,0.0169
17,1,network,33.1341
18,0,encoding,0.0128
18,1,network,33.0809
19,0,encoding,0.0229
19,1,network,33.035
20,0,encoding,0.0136
20,1,network,33.2395
21,0,encoding,0.0338
21,1,network,32.9892
22,0,encoding,0.0155
22,1,network,32.5059
23,0,encoding,0.0114
23,1,network,33.7873
24,0,encoding,0.0731
24,1,network,32.8939
25,0,encoding,0.0153
25,1,network,33.1239
26,0,encoding,0.0287
26,1,network,33.1047
27,0,encoding,0.0169
27,1,network,33.0929
28,0,encoding,0.0167
28,1,network,33.0955
29,0,encoding,0.0937
29,1,network,32.9633
30,0,encoding,0.0794
30,1,network,33.1187
31,0,encoding,0.0184
31,1,network,32.9909
32,0,encoding,0.0242
32,1,network,33.0756
33,0,encoding,0.0187
33,1,network,33.1623
34,0,encoding,0.0107
34,1,network,32.9727
35,0,encoding,0.0242
35,1,network,33.4053
36,0,encoding,0.0182
36,1,network,32.8771
37,0,encoding,0.0364
37,1,network,33.0605
38,0,encoding,0.021
38,1,network,33.0444
39,0,encoding,0.0207
39,1,network,33.1754
40,0,encoding,0.01
40,1,network,33.0775
41,0,encoding,0.0206
41,1,network,33.0448
42,0,encoding,0.0189
42,1,network,33.1377
43,0,encoding,0.0133
43,1,network,33.0409
44,0,encoding,0.0225
44,1,network,33.0624
45,0,encoding,0.014
45,1,network,33.0508
46,0,encoding,0.0156
46,1,network,33.0793
47,0,encoding,0.018
47,1,network,33.2335
48,0,encoding,0.0234
48,1,network,33.0526
49,0,encoding,0.0279
49,1,network,33.0178
50,0,encoding,0.0587
50,1,network,32.9904
51,0,encoding,0.071
51,1,network,33.0663
52,0,encoding,0.0749
52,1,network,33.0033
53,0,encoding,0.0778
53,1,network,33.0757
54,0,encoding,0.08
54,1,network,33.0719
55,0,encoding,0.0752
55,1,network,32.9917
56,0,encoding,0.0177
56,1,network,33.0855
57,0,encoding,0.0147
57,1,network,33.0386
58,0,encoding,0.0223
58,1,network,32.822
59,0,encoding,0.0209
59,1,network,32.6966
60,0,encoding,0.0146
60,1,network,33.9828
61,0,encoding,0.024
61,1,network,33.1376
62,0,encoding,0.0134
62,1,network,33.0312
63,0,encoding,0.0231
63,1,network,33.0743
64,0,encoding,0.0105
64,1,network,33.0621
65,0,encoding,0.018
65,1,network,33.3562
66,0,encoding,0.0229
66,1,network,33.1455
67,0,encoding,0.0261
67,1,network,32.8297
68,0,encoding,0.0202
68,1,network,33.0407
69,0,encoding,0.0139
69,1,network,32.9896
70,0,encoding,0.0226
70,1,network,33.106
71,0,encoding,0.0186
71,1,network,33.3103
72,0,encoding,0.0157
72,1,network,32.8829
73,0,encoding,0.0185
73,1,network,33.1131
74,0,encoding,0.0111
74,1,network,33.1805
75,0,encoding,0.0166
75,1,network,32.9829
76,0,encoding,0.0191
76,1,network,33.0833
77,0,encoding,0.0192
77,1,network,33.1532
78,0,encoding,0.0155
78,1,network,32.9849
79,0,encoding,0.0193
79,1,network,33.0367
80,0,encoding,0.0181
80,1,network,33.157
81,0,encoding,0.0248
81,1,network,33.087
82,0,encoding,0.0141
82,1,network,32.9648
83,0,encoding,0.0185
83,1,network,33.2009
84,0,encoding,0.0228
84,1,network,33.0589
85,0,encoding,0.0125
85,1,network,33.0506
86,0,encoding,0.022
86,1,network,33.1269
87,0,encoding,0.0201
87,1,network,33.0932
88,0,encoding,0.0188
88,1,network,33.1033
89,0,encoding,0.0223
89,1,network,33.1115
90,0,encoding,0.02
90,1,network,33.2021
91,0,encoding,0.0134
91,1,network,32.7019
92,0,encoding,0.0185
92,1,network,33.0947
93,0,encoding,0.0186
93,1,network,33.1704
94,0,encoding,0.0238
94,1,network,32.9861
95,0,encoding,0.0126
95,1,network,33.3623
96,0,encoding,0.0172
96,1,network,32.7558
97,0,encoding,0.567
97,1,network,32.4063
